suite,case,config,status,note,rust_status
compiler,arityErrorRelatedSpanBindingPattern.ts,,go-diff,,
compiler,arrayAssignmentTest1.ts,,go-diff,,
compiler,arrayAssignmentTest2.ts,,go-diff,,
compiler,arrayAssignmentTest3.ts,,go-diff,,
compiler,arrayAssignmentTest4.ts,,go-diff,,
compiler,arrayAssignmentTest5.ts,,go-diff,,
compiler,arrayAssignmentTest6.ts,,go-diff,,
compiler,arrayAugment.ts,,go-pass,,
compiler,arrayBestCommonTypes.ts,,go-diff,,
compiler,arrayBindingPatternOmittedExpressions.ts,,go-diff,,
compiler,arrayBufferIsViewNarrowsType.ts,,go-diff,,
compiler,arrayCast.ts,,go-diff,,
compiler,arrayConcat2.ts,,go-pass,,
compiler,arrayConcat3.ts,,go-pass,,
compiler,arrayConcatMap.ts,,go-diff,,
compiler,arrayConstructors1.ts,,go-pass,,
compiler,arrayDestructuringInSwitch1.ts,,go-pass,,
compiler,arrayDestructuringInSwitch2.ts,,go-diff,,
compiler,arrayEvery.ts,,go-pass,,
compiler,arrayFakeFlatNoCrashInferenceDeclarations.ts,,go-diff,,
compiler,arrayFilter.ts,,go-pass,,
compiler,arrayFind.ts,,go-pass,,
compiler,arrayFlatMap.ts,,go-pass,,
compiler,arrayFlatNoCrashInference.ts,,go-pass,,
compiler,arrayFlatNoCrashInferenceDeclarations.ts,,go-pass,,
compiler,arrayFrom.ts,,go-diff,,
compiler,arrayFromAsync.ts,,go-pass,,
compiler,arrayIndexWithArrayFails.ts,,go-diff,,
compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=true,target=es5",go-pass,,
compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=true,target=es2015",go-pass,,
compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=true,target=esnext",go-pass,,
compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=false,target=es5",go-pass,,
compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=false,target=es2015",go-diff,,
compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=false,target=esnext",go-diff,,
compiler,arrayLiteral1.ts,,go-pass,,
compiler,arrayLiteral2.ts,,go-pass,,
compiler,arrayLiteralAndArrayConstructorEquivalence1.ts,,go-diff,,
