suite,case,config,go_status,rust_status
compiler,assignToFn.ts,[],go-diff,rust-pass
compiler,assignToInvalidLHS.ts,[],go-diff,rust-pass
compiler,assignToModule.ts,[],go-diff,rust-pass
compiler,assigningFunctionToTupleIssuesError.ts,[],go-diff,rust-pass
compiler,assignmentCompat1.ts,[],go-diff,rust-pass
compiler,assignmentCompatBug5.ts,[],go-diff,rust-pass
compiler,assignmentCompatability10.ts,[],go-pass,rust-diff
compiler,assignmentCompatability11.ts,[],go-diff,rust-pass
compiler,assignmentCompatability12.ts,[],go-diff,rust-pass
compiler,assignmentCompatability13.ts,[],go-diff,rust-pass
compiler,assignmentCompatability14.ts,[],go-diff,rust-pass
compiler,assignmentCompatability15.ts,[],go-diff,rust-pass
compiler,assignmentCompatability16.ts,[],go-diff,rust-pass
compiler,assignmentCompatability17.ts,[],go-diff,rust-pass
compiler,assignmentCompatability18.ts,[],go-diff,rust-pass
compiler,assignmentCompatability19.ts,[],go-diff,rust-pass
compiler,assignmentCompatability2.ts,[],go-diff,rust-pass
compiler,assignmentCompatability20.ts,[],go-diff,rust-pass
compiler,assignmentCompatability21.ts,[],go-diff,rust-pass
compiler,assignmentCompatability22.ts,[],go-diff,rust-pass
compiler,assignmentCompatability23.ts,[],go-diff,rust-pass
compiler,assignmentCompatability24.ts,[],go-diff,rust-pass
compiler,assignmentCompatability25.ts,[],go-diff,rust-pass
compiler,assignmentCompatability26.ts,[],go-diff,rust-pass
compiler,assignmentCompatability27.ts,[],go-diff,rust-pass
compiler,assignmentCompatability28.ts,[],go-diff,rust-pass
compiler,assignmentCompatability29.ts,[],go-diff,rust-pass
compiler,assignmentCompatability30.ts,[],go-diff,rust-pass
compiler,assignmentCompatability31.ts,[],go-diff,rust-pass
compiler,assignmentCompatability32.ts,[],go-diff,rust-pass
compiler,assignmentCompatability33.ts,[],go-diff,rust-pass
compiler,assignmentCompatability34.ts,[],go-diff,rust-pass
compiler,assignmentCompatability36.ts,[],go-diff,rust-pass
compiler,assignmentCompatability37.ts,[],go-diff,rust-pass
compiler,assignmentCompatability38.ts,[],go-diff,rust-pass
compiler,assignmentCompatability4.ts,[],go-diff,rust-pass
compiler,assignmentCompatability43.ts,[],go-diff,rust-pass
compiler,assignmentCompatability46.ts,[],go-diff,rust-pass
compiler,assignmentCompatability8.ts,[],go-pass,rust-diff
compiler,assignmentCompatibilityForConstrainedTypeParameters.ts,[],go-diff,rust-pass
compiler,assignmentIndexedToPrimitives.ts,[],go-diff,rust-pass
compiler,assignmentRestElementWithErrorSourceType.ts,[],go-diff,rust-pass
compiler,assignmentToFunction.ts,[],go-diff,rust-pass
compiler,assignmentToParenthesizedExpression1.ts,[],go-diff,rust-pass
compiler,assignmentToReferenceTypes.ts,[],go-diff,rust-pass
compiler,asyncFunctionContextuallyTypedReturns.ts,[],go-pass,rust-diff
compiler,asyncFunctionReturnExpressionErrorSpans.ts,[],go-diff,rust-pass
compiler,asyncFunctionReturnType.ts,[],go-pass,rust-diff
compiler,asyncYieldStarContextualType.ts,[],go-pass,rust-diff
compiler,augmentExportEquals3.ts,[],go-pass,rust-diff
compiler,augmentExportEquals4.ts,[],go-pass,rust-diff
compiler,augmentExportEquals6.ts,[],go-pass,rust-diff
compiler,augmentedClassWithPrototypePropertyOnModule.ts,[],go-diff,rust-pass
compiler,augmentedTypesClass.ts,[],go-diff,rust-pass
compiler,augmentedTypesClass2.ts,[],go-diff,rust-pass
compiler,augmentedTypesClass2a.ts,[],go-diff,rust-pass
compiler,augmentedTypesClass4.ts,[],go-diff,rust-pass
compiler,augmentedTypesEnum.ts,[],go-diff,rust-pass
compiler,augmentedTypesEnum2.ts,[],go-diff,rust-pass
compiler,augmentedTypesEnum3.ts,[],go-diff,rust-pass
compiler,augmentedTypesFunction.ts,[],go-diff,rust-pass
compiler,augmentedTypesInterface.ts,[],go-diff,rust-pass
compiler,augmentedTypesModules.ts,[],go-diff,rust-pass
compiler,augmentedTypesModules2.ts,[],go-diff,rust-pass
compiler,augmentedTypesModules3.ts,[],go-diff,rust-pass
