norm_name,go_func,go_recv,go_file,rust_func,rust_file,rust_impl,match_type,score,aligned,marked_round,note
get_old_type_metadata,getOldTypeMetadata,MetadataTransformer,tsc/internal/transformers/tstransforms/metadata.go:272,,,,go_only,0.0,,,
get_open_configured_projects,GetOpenConfiguredProjects,ProjectCollection,tsc/internal/project/projectcollection.go:150,,,,go_only,0.0,,,
get_open_token_for_list,getOpenTokenForList,,tsc/internal/format/util.go:16,open_token_for_list,tsox-frontend/src/format/lists.rs:264,,fuzzy,0.905,,,
get_opening_bracket,getOpeningBracket,,tsc/internal/printer/printer.go:6317,,,,go_only,0.0,,,
get_operator,getOperator,,tsc/internal/ast/precedence.go:189,,,,go_only,0.0,,,
get_operator_precedence,GetOperatorPrecedence,,tsc/internal/ast/precedence.go:223,,,,go_only,0.0,,,
get_option_declaration_from_name,GetOptionDeclarationFromName,NameMap,tsc/internal/tsoptions/namemap.go:48,,,,go_only,0.0,,,
get_option_value,getOptionValue,,tsc/internal/testutil/harnessutil/harnessutil.go:442,,,,go_only,0.0,,,
get_optional_call_signature,getOptionalCallSignature,Checker,tsc/internal/checker/checker.go:9191,,,,go_only,0.0,,,
get_optional_expression_type,getOptionalExpressionType,Checker,tsc/internal/checker/checker.go:29415,,,,go_only,0.0,,,
get_optional_replacement_span,getOptionalReplacementSpan,LanguageService,tsc/internal/ls/completions.go:4051,,,,go_only,0.0,,,
get_optional_symbol_flag_for_node,getOptionalSymbolFlagForNode,,tsc/internal/binder/binder.go:2756,,,,go_only,0.0,,,
get_optional_type,getOptionalType,Checker,tsc/internal/checker/checker.go:18961,get_optional_type,tsox-checker/src/checker/typenode_constructors_checker.rs:6,Checker,exact,1.0,,,
get_options,GetOptions,FourslashTest,tsc/internal/fourslash/fourslash.go:799,,,,go_only,0.0,,,
get_options_for_help,getOptionsForHelp,,tsc/internal/execute/tsc/help.go:27,,,,go_only,0.0,,,
get_options_for_insert_node_before,getOptionsForInsertNodeBefore,Tracker,tsc/internal/ls/change/tracker.go:694,get_options_for_insert_node_before,tsox-lsp/src/ls/change_tracker_insert.rs:82,Tracker,exact,1.0,,,
get_options_syntax_by_array_element_value,GetOptionsSyntaxByArrayElementValue,,tsc/internal/tsoptions/tsconfigparsing.go:1674,,,,go_only,0.0,,,
get_or_compute_source_file_data,GetOrComputeSourceFileData,,tsc/internal/ast/ast.go:2404,,,,go_only,0.0,,,
get_or_create,getOrCreate,eventList,tsc/internal/fswatch/event.go:226,,,,go_only,0.0,,,
get_or_create_dir_watch,getOrCreateDirWatch,watcher,tsc/internal/fswatch/watcher.go:419,,,,go_only,0.0,,,
get_or_create_external_helpers_module_name_if_needed,getOrCreateExternalHelpersModuleNameIfNeeded,,tsc/internal/transformers/moduletransforms/externalmoduleinfo.go:330,,,,go_only,0.0,,,
get_or_create_project_registry,getOrCreateProjectRegistry,snapshotData,tsc/internal/api/session.go:116,,,,go_only,0.0,,,
get_or_create_substitution_type,getOrCreateSubstitutionType,Checker,tsc/internal/checker/checker.go:27769,,,,go_only,0.0,,,
get_or_create_token,GetOrCreateToken,SourceFile,tsc/internal/ast/ast.go:2904,,,,go_only,0.0,,,
get_or_create_type_from_signature,getOrCreateTypeFromSignature,Checker,tsc/internal/checker/checker.go:19689,,,,go_only,0.0,,,
get_or_default,,,,get_or_default,tsox-checker/src/checker/checker_heritage_retry_limit.rs:113,LinkStore,rust_only,0.0,,,
get_or_load_script_info,getOrLoadScriptInfo,FourslashTest,tsc/internal/fourslash/fourslash.go:4165,,,,go_only,0.0,,,
get_or_parse,,,,get_or_parse,tsox-tsoptions/src/tsoptions/impl_chunk.rs:18,ExtendedConfigCache,rust_only,0.0,,,
get_or_parse_source_file,getOrParseSourceFile,sourceDefResolver,tsc/internal/ls/sourcedefinition.go:434,,,,go_only,0.0,,,
get_or_zero,GetOrZero,,tsc/internal/collections/ordered_map.go:78,,,,go_only,0.0,,,
get_organize_imports_action_title,getOrganizeImportsActionTitle,,tsc/internal/ls/codeactions.go:307,,,,go_only,0.0,,,
get_organize_imports_actions_for_kind,getOrganizeImportsActionsForKind,,tsc/internal/ls/codeactions.go:321,,,,go_only,0.0,,,
get_organize_imports_natural_string_comparer,getOrganizeImportsNaturalStringComparer,,tsc/internal/ls/lsutil/organizeimports.go:83,get_organize_imports_natural_string_comparer,tsox-lsp/src/ls/lsutil_organize_imports_comparers.rs:78,,exact,1.0,,,
get_organize_imports_ordinal_string_comparer,getOrganizeImportsOrdinalStringComparer,,tsc/internal/ls/lsutil/organizeimports.go:76,get_organize_imports_ordinal_string_comparer,tsox-lsp/src/ls/lsutil_organize_imports_comparers.rs:70,,exact,1.0,,,
get_organize_imports_preset_string_comparer,getOrganizeImportsPresetStringComparer,,tsc/internal/ls/lsutil/organizeimports.go:248,get_organize_imports_preset_string_comparer,tsox-lsp/src/ls/lsutil_organize_imports_comparers.rs:94,,exact,1.0,,,
get_organize_imports_string_comparer,getOrganizeImportsStringComparer,,tsc/internal/ls/lsutil/organizeimports.go:261,get_organize_imports_string_comparer,tsox-lsp/src/ls/lsutil_organize_imports_comparers.rs:107,,exact,1.0,,,
get_organize_imports_string_comparer_with_detection,GetOrganizeImportsStringComparerWithDetection,,tsc/internal/ls/lsutil/organizeimports.go:428,get_organize_imports_string_comparer_with_detection,tsox-lsp/src/ls/lsutil_organize_imports_comparers.rs:143,,exact,1.0,,,
get_organize_imports_unicode_string_comparer,getOrganizeImportsUnicodeStringComparer,,tsc/internal/ls/lsutil/organizeimports.go:89,get_organize_imports_unicode_string_comparer,tsox-lsp/src/ls/lsutil_organize_imports_comparers.rs:82,,exact,1.0,,,
get_original_and_resolved_file_name,getOriginalAndResolvedFileName,resolutionState,tsc/internal/module/resolver.go:1209,,,,go_only,0.0,,,
get_original_if_function_like,getOriginalIfFunctionLike,asyncTransformer,tsc/internal/transformers/estransforms/async.go:943,,,,go_only,0.0,,,
get_outer_inference_type_parameters,getOuterInferenceTypeParameters,Checker,tsc/internal/checker/checker.go:7849,,,,go_only,0.0,,,
get_outer_type_parameters,getOuterTypeParameters,Checker,tsc/internal/checker/checker.go:24107,,,,go_only,0.0,,,
get_outer_type_parameters_of_class_or_interface,getOuterTypeParametersOfClassOrInterface,Checker,tsc/internal/checker/checker.go:24079,,,,go_only,0.0,,,
get_outgoing_calls,getOutgoingCalls,LanguageService,tsc/internal/ls/callhierarchy.go:965,,,,go_only,0.0,,,
get_outlining_span_for_node,getOutliningSpanForNode,,tsc/internal/ls/folding.go:402,get_outlining_span_for_node,tsox-lsp/src/ls/folding.rs:106,LanguageService,exact,1.0,,,
get_output,GetOutput,CompilationResult,tsc/internal/testutil/harnessutil/harnessutil.go:900,,,,go_only,0.0,,,
get_output,getOutput,TestSys,tsc/internal/execute/tsctests/sys.go:547,,,,go_only,0.0,,,
get_output_declaration_and_source_file_names,getOutputDeclarationAndSourceFileNames,ParsedCommandLine,tsc/internal/tsoptions/parsedcommandline.go:197,,,,go_only,0.0,,,
